MAE,RMSE,R2,N,Año,Fase,Tipo
0.26818098169741666,0.32115578984137955,-1.0072343799362438,579,2019,C,ML_Puro
0.16329381287623038,0.2823555365669382,0.04613786386076568,619,2020,C,ML_Puro
0.16880095459009808,0.23123012601284626,-0.07780324465479782,625,2021,C,ML_Puro
0.2057472761900347,0.27647915399204964,0.08554001539362699,631,2022,C,ML_Puro
0.19555017321692372,0.2703990663392472,0.3449258615846431,625,2023,C,ML_Puro
0.24124726236434008,0.32127603526911785,0.3261930245165502,623,2024,C,ML_Puro
0.276535114982727,0.3305115560532589,-1.1258855145596418,579,2019,C,Híbrido
0.15965948077323044,0.2859892665726377,0.021428728873014502,619,2020,C,Híbrido
0.17335934958205776,0.23962719082092637,-0.15750492606465238,625,2021,C,Híbrido
0.2034375737963754,0.2756818016632491,0.09080692522023692,631,2022,C,Híbrido
0.18557522821615366,0.26087707239204244,0.3902498678409375,625,2023,C,Híbrido
0.2349650254646106,0.3109654742521743,0.36874739220362385,623,2024,C,Híbrido
0.32397053989707664,0.3892041573632086,-1.9479595243400647,579,2019,C,Baseline
0.20006041840293673,0.3229777891175626,-0.24806817275566062,619,2020,C,Baseline
0.2314934474766299,0.31430212761288207,-0.9913394464637828,625,2021,C,Baseline
0.20946460231431752,0.2898514999171425,-0.005057772658707771,631,2022,C,Baseline
0.17309493638961576,0.27369018814168783,0.32888254389944627,625,2023,C,Baseline
0.24792421400421966,0.31138816886730175,0.36703010556630233,623,2024,C,Baseline
0.26818098169741666,0.32115578984137955,-1.0072343799362438,579,2019,D,ML_Puro
0.16329381287623038,0.2823555365669382,0.04613786386076568,619,2020,D,ML_Puro
0.16880095459009808,0.23123012601284626,-0.07780324465479782,625,2021,D,ML_Puro
0.2057472761900347,0.27647915399204964,0.08554001539362699,631,2022,D,ML_Puro
0.19555017321692372,0.2703990663392472,0.3449258615846431,625,2023,D,ML_Puro
0.24124726236434008,0.32127603526911785,0.3261930245165502,623,2024,D,ML_Puro
0.276535114982727,0.3305115560532589,-1.1258855145596418,579,2019,D,Híbrido
0.15965948077323044,0.2859892665726377,0.021428728873014502,619,2020,D,Híbrido
0.17335934958205776,0.23962719082092637,-0.15750492606465238,625,2021,D,Híbrido
0.2034375737963754,0.2756818016632491,0.09080692522023692,631,2022,D,Híbrido
0.18557522821615366,0.26087707239204244,0.3902498678409375,625,2023,D,Híbrido
0.2349650254646106,0.3109654742521743,0.36874739220362385,623,2024,D,Híbrido
0.32397053989707664,0.3892041573632086,-1.9479595243400647,579,2019,D,Baseline
0.20006041840293673,0.3229777891175626,-0.24806817275566062,619,2020,D,Baseline
0.2314934474766299,0.31430212761288207,-0.9913394464637828,625,2021,D,Baseline
0.20946460231431752,0.2898514999171425,-0.005057772658707771,631,2022,D,Baseline
0.17309493638961576,0.27369018814168783,0.32888254389944627,625,2023,D,Baseline
0.24792421400421966,0.31138816886730175,0.36703010556630233,623,2024,D,Baseline
0.26818098169741666,0.32115578984137955,-1.0072343799362438,579,2019,E,ML_Puro
0.16329381287623038,0.2823555365669382,0.04613786386076568,619,2020,E,ML_Puro
0.16880095459009808,0.23123012601284626,-0.07780324465479782,625,2021,E,ML_Puro
0.2057472761900347,0.27647915399204964,0.08554001539362699,631,2022,E,ML_Puro
0.19539332701759676,0.2719863042921982,0.33721274163103876,625,2023,E,ML_Puro
0.26767710161426106,0.3440359015072409,0.22734366493000524,623,2024,E,ML_Puro
0.276535114982727,0.3305115560532589,-1.1258855145596418,579,2019,E,Híbrido
0.15965948077323044,0.2859892665726377,0.021428728873014502,619,2020,E,Híbrido
0.17335934958205776,0.23962719082092637,-0.15750492606465238,625,2021,E,Híbrido
0.2034375737963754,0.2756818016632491,0.09080692522023692,631,2022,E,Híbrido
0.18465694120785037,0.26217977909231865,0.3841450090758822,625,2023,E,Híbrido
0.25790053457691553,0.33039503727598724,0.2873999148890979,623,2024,E,Híbrido
