departamento,municipio,rendimiento_original,produccion_esperada_t,ingreso_promedio_5y_cop
ANTIOQUIA,CARAMANTA,1.243176836386908,741.9652312607983,12346301448.179684
ANTIOQUIA,CAROLINA,1.4138404142955594,8.638564931345869,143745720.45759526
VALLE DEL CAUCA,CARTAGO,1.1299496058106786,300.62309262593106,5002368261.295493
TOLIMA,CASABIANCA,1.0966117028276485,1860.971991932576,30966573945.758064
SANTANDER,CEPITA,1.2240006224248108,107.87117485429857,1794976349.5755281
NARINO,CHACHAGUI,1.1552329975731832,419.6037293785316,6982206056.858766
CUNDINAMARCA,CHAGUANI,1.2296826806734278,781.5002340483835,13004163894.565102
SUCRE,CHALAN,1.2909001837312915,5.163600734925166,85922316.22915477
CASANARE,CHAMEZA,1.3165257505499681,46.078401269248886,766744597.1203015
TOLIMA,CHAPARRAL,1.1882986016804546,6407.19911338686,106615793246.75734
SANTANDER,CHARALA,1.2876583487604598,1359.7028333736075,22625455147.33683
SANTANDER,CHARTA,1.2626895545085735,153.90922979905002,2561049583.8561926
SANTANDER,CHIMA,1.202827555029473,1005.756288413444,16735784639.199709
CESAR,CHIMICHAGUA,1.29037592145733,140.53484160591782,2338499764.3224726
NORTE DE SANTANDER,CHINACOTA,1.2675493529963042,524.1063064769119,8721128939.775814
BOYACA,CHINAVITA,1.2085234761449835,77.91350850706708,1296480781.5575962
CALDAS,CHINCHINA,1.2673604591084278,2980.603674940383,49597245151.00797
SANTANDER,CHIPATA,1.1504684793081912,119.69474058722422,1991720483.371411
CESAR,CHIRIGUANA,1.1543038064763007,83.53696647468989,1390055122.1388397
BOYACA,CHITA,1.1870424198202065,5.935212099101033,98761929.32904118
NORTE DE SANTANDER,CHITAGA,1.2427900281403044,203.66842981163308,3389042672.065574
BOYACA,CHITARAQUE,1.2819793371187775,455.0642052970525,7572268376.142955
BOYACA,CHIVOR,1.2203427855202746,4.027131192216906,67011463.03848933
CUNDINAMARCA,CHOACHI,1.1815843673023212,42.796985783690076,712141843.4406029
MAGDALENA,CIENAGA,1.1501085065373826,10150.650659167763,168906826968.55157
QUINDIO,CIRCASIA,1.2712505232433018,1373.2302402178796,22850551197.225513
ANTIOQUIA,CISNEROS,1.2291279907377899,108.31075854381405,1802291022.1690657
ANTIOQUIA,CIUDAD BOLIVAR,1.311931601323179,8641.234281855317,143790138450.07248
ANTIOQUIA,COCORNA,1.2743243376636098,410.0520853733963,6823266700.613316
HUILA,COLOMBIA,1.3157212450392337,2062.5114665110523,34320190802.74391
NARINO,COLON,1.3526329526861338,2161.9403009373013,35974686607.596695
ANTIOQUIA,CONCEPCION,1.207793859744081,110.16287794725761,1833110289.0423667
ANTIOQUIA,CONCORDIA,1.3554004298730196,6345.374882472035,105587038044.33467
SANTANDER,CONFINES,1.1784083477302834,2556.5451263173723,42540910901.921074
NARINO,CONSACA,1.2388128995667889,1735.886575517963,28885152616.6189
SANTANDER,CONTRATACION,1.2448293641568644,345.07914803792437,5742117023.351061
NORTE DE SANTANDER,CONVENCION,1.246566132918641,1250.978977029173,20816290177.765438
ANTIOQUIA,COPACABANA,1.2538196563032955,75.16648839538257,1250770366.899166
BOYACA,COPER,1.220967613166112,302.3482100483243,5031074215.204116
QUINDIO,CORDOBA,1.246971046218419,1348.6989441689175,22442350430.970787
CAUCA,CORINTO,1.387995206010144,2224.3733572477363,37013572664.60233
SANTANDER,COROMORO,1.2821929601213577,1715.2023446839414,28540967015.540787
TOLIMA,COYAIMA,1.1417044973052333,57.65607711391428,959397123.1755337
BOYACA,CUBARA,1.1992860744756542,1.1992860744756542,19956120.279274885
META,CUBARRAL,1.1582708150055165,318.98778245251924,5307956700.00992
NORTE DE SANTANDER,CUCUTILLA,1.247805418033013,1590.0410100369274,26458282407.014473
META,CUMARAL,1.2014080452351548,6.2833640765798595,104555178.23428886
NARINO,CUMBAL,1.176505024357397,43.530685901223684,724350613.3963621
NARINO,CUMBITARA,1.1920315854137085,72.40399849802866,1204802535.007197
TOLIMA,CUNDAY,1.222329529409178,1163.6088188163612,19362450745.104248
SANTANDER,CURITI,1.2786947582069836,2469.287447573506,41088943127.62314
CESAR,CURUMANI,1.1591730452640165,473.6496980253298,7881530975.141488
ANTIOQUIA,DABEIBA,1.3539080108377002,1744.1855340417756,29023247286.455147
VALLE DEL CAUCA,DAGUA,1.2658248301691568,991.6851466994225,16501640841.07839
LA GUAJIRA,DIBULLA,1.1102994703908249,112.06252554654596,1864720425.0945246
TOLIMA,DOLORES,1.2274398697193964,3143.3630367630994,52305560931.737976
ANTIOQUIA,DONMATIAS,1.2228293782756328,197.31574847855612,3283334054.683174
RISARALDA,DOSQUEBRADAS,1.312889130152863,963.1092080975372,16026137222.74302
NORTE DE SANTANDER,DURANIA,1.2166078035548193,708.5158865562202,11789704352.295504
ANTIOQUIA,EBEJICO,1.3116739522130785,1780.8597249196966,29633505822.66375
VALLE DEL CAUCA,EL AGUILA,1.2566652369787756,4919.63076968162,81862656007.50215
VALLE DEL CAUCA,EL CAIRO,1.1417801634968274,2634.3494466247853,43835574791.836426
NORTE DE SANTANDER,EL CARMEN,1.1466708887900547,936.6237153814926,15585418623.948038
CHOCO,EL CARMEN DE ATRATO,1.2448652401914664,179.45977302600178,2986210623.1526694
SANTANDER,EL CARMEN DE CHUCURI,1.3492581187725905,632.8560280290959,10530724306.404156
ANTIOQUIA,EL CARMEN DE VIBORAL,1.2495786229119576,129.90619363792712,2161639062.1351075
META,EL CASTILLO,1.1228984160122877,188.00688179293732,3128434513.0344768
VALLE DEL CAUCA,EL CERRITO,1.482648980889079,99.04095192339048,1648041440.0052178
CUNDINAMARCA,EL COLEGIO,1.3633381426436657,1124.5222001967747,18712049411.274334
CESAR,EL COPEY,1.199328827017073,907.1963113322543,15095746620.568712
CAQUETA,EL DONCELLO,1.173424093726397,181.76339211821892,3024542844.8471627
META,EL DORADO,1.225920096821134,164.83721621856967,2742891277.8769994
VALLE DEL CAUCA,EL DOVIO,1.3046985515278722,653.3408466630973,10871591688.47394
SANTANDER,EL GUACAMAYO,1.1128216481644515,41.64178607431378,692919320.2765812
LA GUAJIRA,EL MOLINO,1.2420615645128779,155.4191635674964,2586174881.76314
CAQUETA,EL PAUJIL,1.2416266559664737,222.54916181543075,3703218052.6087675
NARINO,EL PENOL,1.2870155908442662,623.9194181294833,10382019117.674603
CUNDINAMARCA,EL PENON,1.2621199438176305,489.22293262258995,8140669598.839897
SANTANDER,EL PENON,1.2559215212623718,4.031508083252214,67084294.50531684
SANTANDER,EL PLAYON,1.3209564687052735,1185.8490410860982,19732528043.672672
NARINO,EL ROSARIO,1.1837965012518048,650.6500709830294,10826817181.15761
NARINO,EL TABLON DE GOMEZ,1.2504083515419147,2037.7279700902814,33907793422.302284
CAUCA,EL TAMBO,1.3042714941876028,8824.153135645762,146833908177.14548
NARINO,EL TAMBO,1.268136932349328,779.1306498661036,12964734013.771965
NORTE DE SANTANDER,EL TARRA,1.2320500099477458,6.653070053717828,110707085.69386466
NORTE DE SANTANDER,EL ZULIA,1.3102993265184724,793.9758769038684,13211758591.68037
HUILA,ELIAS,1.2642931529483277,1171.9238951939228,19500813616.026875
SANTANDER,ENCINO,1.2588629820305064,463.0601593101014,7705321050.920088
SANTANDER,ENCISO,1.2195620149340647,101.04071293728725,1681317463.27646
ANTIOQUIA,ENVIGADO,1.1726402921157093,9.826725647929646,163516714.7815493
TOLIMA,FALAN,1.2433371932028325,1040.9094647774793,17320733493.897255
CALDAS,FILADELFIA,1.3043099923956483,1883.8018789171108,31346463265.18072
QUINDIO,FILANDIA,1.2141451603750348,1480.5650329161288,24636602147.724384
CAQUETA,FLORENCIA,1.2718770515093343,1142.0311233207462,19003397892.057217
CAUCA,FLORENCIA,1.2105628287099248,1091.1892281708392,18157388756.762764
SANTANDER,FLORIAN,1.1603524336184536,380.2358889724311,6327125192.501253
VALLE DEL CAUCA,FLORIDA,1.2297364629452086,1429.4825566213988,23786589742.180077
SANTANDER,FLORIDABLANCA,1.2484804417586726,567.0972710600419,9436498590.439096
CUNDINAMARCA,FOMEQUE,1.2853281330373565,164.5862674354335,2738715490.1256137
LA GUAJIRA,FONSECA,1.1922692519780331,255.34830569613533,4248995806.783692
CUNDINAMARCA,FOSCA,1.2527115675757425,40.36236670729042,671629782.0093125
ANTIOQUIA,FREDONIA,1.3384412586477634,1927.6364851170954,32075871112.34847
TOLIMA,FRESNO,1.201476281817509,5517.082968003457,91804260587.57751
ANTIOQUIA,FRONTINO,1.3304841924361854,537.0898588026394,8937175250.47592
MAGDALENA,FUNDACION,1.1941232321305486,1851.5597188123434,30809953721.037395
NARINO,FUNES,1.2434698924659342,256.21697134260575,4263450403.1409593
CUNDINAMARCA,FUSAGASUGA,1.1799317094261599,619.8889228641274,10314951676.45908
CUNDINAMARCA,GACHALA,1.2661871556731872,81.08662544931092,1349281447.4765337
CUNDINAMARCA,GACHETA,1.3181444769848714,278.6293795450621,4636392875.629833
SANTANDER,GALAN,1.2395854628441965,886.7746484094813,14755930149.53377
CUNDINAMARCA,GAMA,1.2245999812370503,67.45096696653673,1122384090.3231711
SANTANDER,GAMBITA,1.187764753832198,131.16486176568964,2182583299.7810755
BOYACA,GARAGOA,1.2590123662253714,166.36589407302057,2768328477.375062
QUINDIO,GENOVA,1.248269438648733,2884.8130861891545,48003289754.18753
HUILA,GIGANTE,1.3858957086575943,5447.055198522376,90638998503.41234
VALLE DEL CAUCA,GINEBRA,1.271779615245207,883.6451944685222,14703856035.95621
ANTIOQUIA,GIRALDO,1.201519241436132,774.5113182221451,12887868335.216494
ANTIOQUIA,GIRARDOTA,1.3938643145690195,204.78654509648032,3407648110.4054327
SANTANDER,GIRON,1.1440134254537895,74.30367198322362,1236413101.800841
ANTIOQUIA,GOMEZ PLATA,1.2212714282570614,588.3475105628393,9790102575.765646
CESAR,GONZALEZ,1.2198125335378975,130.47114858721352,2171039912.491233
NORTE DE SANTANDER,GRAMALOTE,1.178848450204382,1122.5348597381185,18678980066.042294
ANTIOQUIA,GRANADA,1.2574109875754167,241.27202029597095,4014766417.724957
SANTANDER,GUACA,1.2326315786444493,138.00543154503254,2296410380.9093413
BOYACA,GUACAMAYAS,1.1030826792696924,68.39112611472093,1138028338.5489564
VALLE DEL CAUCA,GUACARI,1.2555381839014108,619.0933230999466,10301712896.38311
VALLE DEL CAUCA,GUADALAJARA DE BUGA,1.342205505017288,560.075513133614,9319656538.543337
ANTIOQUIA,GUADALUPE,1.3641541100189194,489.1856638527845,8140049446.510335
HUILA,GUADALUPE,1.2381420244137302,4653.99014846755,77442396070.50003
SANTANDER,GUADALUPE,1.2082677601119869,1330.0128196208707,22131413318.491287
CUNDINAMARCA,GUADUAS,1.275933067196999,1007.3746752133746,16762714595.550554
NARINO,GUAITARILLA,1.2023533195675498,141.15627971723035,2348840494.494713
SANTANDER,GUAPOTA,1.2536620754919219,376.01086630229213,6256820815.270141
ANTIOQUIA,GUATAPE,1.1839105206422775,8.689903221514317,144599989.60599825
BOYACA,GUATEQUE,1.2717646550185453,71.62578537064446,1191853068.567524
RISARALDA,GUATICA,1.283466384095793,2447.121181236244,40720096455.771095
SANTANDER,GUAVATA,1.1318247598805264,395.6067083210404,6582895626.462112
CUNDINAMARCA,GUAYABAL DE SIQUIMA,1.1825798519689634,648.9998227605671,10799357050.735836
CUNDINAMARCA,GUAYABETAL,1.251843564610084,333.8291233745711,5554916612.952863
BOYACA,GUAYATA,1.2061181018355187,186.75532688821173,3107608639.419843
SANTANDER,GUEPSA,1.268203896746302,153.0975744152136,2547543638.269154
CUNDINAMARCA,GUTIERREZ,1.214349785575491,54.12356994309963,900616203.8531778
NORTE DE SANTANDER,HACARI,1.2207501541077224,837.3125307024867,13932880510.88938
SANTANDER,HATO,1.214114387086738,667.0951499848082,11100463295.74721
LA GUAJIRA,HATONUEVO,1.1664054269128277,50.51701903959457,840603196.8188537
ANTIOQUIA,HELICONIA,1.3129578279017853,851.4268922377497,14167743486.836155
NORTE DE SANTANDER,HERRAN,1.197768824529553,186.4566729145155,3102639037.297538
TOLIMA,HERVEO,1.1936488191733916,1202.0401703721805,20001948434.993084
ANTIOQUIA,HISPANIA,1.405564955728877,1060.9204285841563,17653715931.64036
HUILA,HOBO,1.3197604163570091,894.4016341651452,14882843192.508017
TOLIMA,IBAGUE,1.1919681268197886,8938.020677683258,148728664076.6494
TOLIMA,ICONONZO,1.3013314919930785,1717.8096226905434,28584352121.570644
NARINO,ILES,1.3192381487411755,7.862659366497406,130834651.85851683
NARINO,IMUES,1.1631094643752011,10.421460800801803,173413107.725342
CAUCA,INZA,1.3164374965278196,6098.199237040646,101474035304.35635
HUILA,IQUIRA,1.2649262808246908,2758.728322901801,45905239293.08597
HUILA,ISNOS,1.1371709446311784,4555.597777868071,75805147023.7247
ANTIOQUIA,ITAGUI,1.4494772171568937,22.64083413199068,376743479.95632493
ANTIOQUIA,ITUANGO,1.2656495319699237,2721.564158080886,45286827590.46594
CAUCA,JAMBALO,1.148105556269511,1123.6049836987197,18696786928.746696
VALLE DEL CAUCA,JAMUNDI,1.2838636183874965,1178.9077675843187,19617025252.60306
ANTIOQUIA,JARDIN,1.3678682335494936,2369.06570841371,39421253388.00414
ANTIOQUIA,JERICO,1.244530576501381,1206.597284529619,20077778814.57286
CUNDINAMARCA,JERUSALEN,1.2528561607986672,109.53721413862749,1822699243.2667615
SANTANDER,JESUS MARIA,1.3279758369038597,432.9998013808725,7205116694.977718
SANTANDER,JORDAN,1.2894563882027603,89.02406904151859,1481360508.8508692
CUNDINAMARCA,JUNIN,1.223327144151726,119.48236216929908,1988186506.4971368
HUILA,LA ARGENTINA,1.313765650260888,2708.682604738391,45072478542.84683
SANTANDER,LA BELLEZA,1.2437782507986306,200.89506306899483,3342893849.468074
BOYACA,LA CAPILLA,1.2084454963131501,95.43094084384947,1587970855.6416552
ANTIOQUIA,LA CEJA,1.3200028548930867,450.0681734043468,7489134405.448331
RISARALDA,LA CELIA,1.29575947106436,3273.464194155182,54470444190.74223
NARINO,LA CRUZ,1.2956338520895245,310.0581371435441,5159367402.068574
VALLE DEL CAUCA,LA CUMBRE,1.337698186032952,701.1411272273115,11666988357.062462
NORTE DE SANTANDER,LA ESPERANZA,1.317731709731218,334.54572646656163,5566840888.403585
ANTIOQUIA,LA ESTRELLA,1.3481033660239727,47.33190918110168,787602968.7735319
NARINO,LA FLORIDA,1.2567763226521576,1168.814547829733,19449074075.88676
CESAR,LA GLORIA,1.3801277441383943,89.63929698178872,1491597901.7769644
CESAR,LA JAGUA DE IBIRICO,1.2265451476775195,2422.7823647559276,40315098549.538635
LA GUAJIRA,LA JAGUA DEL PILAR,1.0559131765501941,209.0180132981109,3478059741.2805657
NARINO,LA LLANADA,1.2257461504942728,80.09025347329579,1332701817.795642
CALDAS,LA MERCED,1.286123706818842,942.9730406025069,15691071395.625713
CUNDINAMARCA,LA MESA,1.2214012876596458,698.8369607473429,11628647026.835787
CAQUETA,LA MONTANITA,1.2626586204985037,118.61415080962944,1973739469.472234
CUNDINAMARCA,LA PALMA,1.22187686188003,854.5684584302742,14220019148.279762
CESAR,LA PAZ,1.1972997899346538,4720.067069867789,78541916042.6
SANTANDER,LA PAZ,1.2099629028453345,39.40849174567254,655757302.6479911
CUNDINAMARCA,LA PENA,1.143218917814295,110.53783716346419,1839349610.4000442
HUILA,LA PLATA,1.3438357316360905,12149.175383930455,202162278388.60275
NORTE DE SANTANDER,LA PLAYA,1.1837108487878738,200.0826447706143,3329375208.983022
CASANARE,LA SALINA,1.2042234652775452,39.48648742645071,657055150.7761399
CAUCA,LA SIERRA,1.3266287452798553,1941.4150384174459,32305146239.2663
QUINDIO,LA TEBAIDA,1.5127285378281938,442.86640673458203,7369297008.063445
NARINO,LA UNION,1.2384537498609327,4048.1090030954333,67360533811.50802
VALLE DEL CAUCA,LA UNION,1.1811560264810192,433.1653495913842,7207871417.200633
CAUCA,LA VEGA,1.1584983068924946,3109.6527403439027,51744621599.32254
CUNDINAMARCA,LA VEGA,1.1912198741499942,457.8691830270333,7618943205.569834
BOYACA,LA VICTORIA,1.252754505093154,151.7712082920356,2525472905.979472
VALLE DEL CAUCA,LA VICTORIA,1.0622061147211594,450.22668378571063,7491772018.194224
RISARALDA,LA VIRGINIA,1.302171378641173,40.1850087448666,668678545.5145802
