departamento,municipio,rendimiento_inferido,produccion_esperada_t,ingreso_esperado_cop
CUNDINAMARCA,CAPARRAPI,0.6837415129656472,988.4851052944363,12652609347.768784
SANTANDER,CAPITANEJO,0.5269733879245739,1.0539467758491479,13490518.730869092
ANTIOQUIA,CARACOLI,0.5127639123784122,240.74265686166456,3081506007.829306
ANTIOQUIA,CAREPA,0.693690785321486,368.34980700570907,4714877529.673077
TOLIMA,CARMEN DE APICALA,0.6029790180813779,29.545971885987516,378188440.1406402
CHOCO,CARMEN DEL DARIEN,0.5066517733459683,405.32141867677467,5188114159.0627165
CAQUETA,CARTAGENA DEL CHAIRA,0.3453904525795368,89.1107367655205,1140617430.5986624
VALLE DEL CAUCA,CARTAGO,0.8945633126819739,5.367379876091843,68702462.4139756
VAUPES,CARURU,0.3503585223722264,40.29123007280604,515727744.9319173
TOLIMA,CASABIANCA,0.5323035527632598,13.839892371844755,177150622.35961288
META,CASTILLA LA NUEVA,0.7594605037911859,112.02042430919992,1433861431.157759
ANTIOQUIA,CAUCASIA,0.44846288571498066,27.8046989143288,355900146.10340863
SANTANDER,CEPITA,0.7608733890456103,3.652192267418929,46748061.02296229
CHOCO,CERTEGUI,0.42479525190824935,27.18689612212796,347992270.36323786
CUNDINAMARCA,CHAGUANI,0.4236733353705327,14.828566737968645,189805654.24599865
SUCRE,CHALAN,0.5184823135736831,33.44210922550256,428058998.0864328
SANTANDER,CHARALA,0.4757528900615527,14.272586701846581,182689109.78363624
ANTIOQUIA,CHIGORODO,0.8348631819839001,508.6821367827903,6511131350.8197155
SANTANDER,CHIMA,0.7694420986161156,363.1766705468065,4648661382.999123
CESAR,CHIMICHAGUA,0.5948900468316907,5.354010421485216,68531333.39501077
NORTE DE SANTANDER,CHINACOTA,0.6048271141479915,10.282060940515855,131610380.03860295
CALDAS,CHINCHINA,0.8461875946706157,26.231815434789084,335767237.5653002
CESAR,CHIRIGUANA,0.5139477719104439,28.78107522698486,368397762.90540624
MAGDALENA,CIENAGA,0.505027769513649,247.46360706168804,3167534170.389607
CORDOBA,CIENAGA DE ORO,0.3248001694162884,6.496003388325768,83148843.37056983
SANTANDER,CIMITARRA,0.6829386113381964,1370.6577929557602,17544419749.83373
QUINDIO,CIRCASIA,0.5959352729241455,22.64554037111753,289862916.7503044
ANTIOQUIA,CISNEROS,0.7558563347721508,2.267569004316452,29024883.255250584
ANTIOQUIA,COCORNA,0.611841081358373,46.80584272391553,599114786.8661188
TOLIMA,COELLO,0.5306391675824693,13.796618357144203,176596714.9714458
HUILA,COLOMBIA,0.5976322509288711,174.8074333966948,2237535147.4776936
SUCRE,COLOSO,0.334853865064871,11.719885277270485,150014531.5490622
CHOCO,CONDOTO,0.5124865461474406,26.188062508134216,335207200.104118
SANTANDER,CONTRATACION,0.596946504717103,45.367934358499824,580709559.7887977
NORTE DE SANTANDER,CONVENCION,0.7669164115479659,425.63860840912105,5448174187.63675
BOYACA,COPER,0.7642052713894857,129.91489613621258,1662910670.543521
QUINDIO,CORDOBA,0.6020886017014064,18.78516437308388,240450103.97547367
ARAUCA,CRAVO NORTE,0.6026578814117145,7.231894576940574,92568250.58483934
